iter	Logloss
0	0.4168092176
1	0.330081978
2	0.3000117817
3	0.2839482418
4	0.2751983331
5	0.2691211255
6	0.2657217999
7	0.2627967522
8	0.2607259328
9	0.2594501578
10	0.2585105104
11	0.2577399811
12	0.2569725819
13	0.2564653578
14	0.2560979194
15	0.2558216006
16	0.2554911647
17	0.255260472
18	0.2550100976
19	0.2547619485
20	0.2546285243
21	0.2544511296
22	0.2543016609
23	0.2541708896
24	0.254051556
25	0.2539085422
26	0.2537453324
27	0.2536607835
28	0.2535810186
29	0.2534887972
30	0.2534246027
31	0.2533828802
32	0.2533049223
33	0.2532488409
34	0.2531352101
35	0.2530812605
36	0.2530336394
37	0.2529564675
38	0.2528948666
39	0.2527828859
40	0.2527319439
41	0.2526549941
42	0.2526130939
43	0.2525353126
44	0.2524974707
45	0.2524249323
46	0.2524022621
47	0.2523771262
48	0.2523034352
49	0.2522392983
50	0.2521858909
51	0.2521160085
52	0.2520734506
53	0.2520398485
54	0.251992604
55	0.2519156529
56	0.2518629073
57	0.2518010121
58	0.2517298894
59	0.2516972513
60	0.2516606583
61	0.2516086051
62	0.2515789456
63	0.2515390338
64	0.2514784718
65	0.2514369849
66	0.2513984879
67	0.2513547756
68	0.2513143615
69	0.2512901687
70	0.2512485141
71	0.2512014883
72	0.2511677432
73	0.2511069592
74	0.2510850358
75	0.2510500511
76	0.25102295
77	0.2510027181
78	0.2509716602
79	0.2509427928
80	0.2508996288
81	0.2508738254
82	0.2508139966
83	0.2507678474
84	0.2507355144
85	0.2507140496
86	0.2506861294
87	0.2506268333
88	0.2505995242
89	0.2505692621
90	0.2505311076
91	0.2505015198
92	0.2504643677
93	0.2504285608
94	0.2504074871
95	0.2503658045
96	0.2503467797
97	0.2503009741
98	0.2502687131
99	0.2502428145
100	0.2502092712
101	0.2501878324
102	0.2501564204
103	0.2501240445
104	0.2500973486
105	0.2500754679
106	0.2500386973
107	0.2500133066
108	0.2499832328
109	0.2499563012
110	0.2499320134
111	0.2499237491
112	0.249870863
113	0.2498359862
114	0.2497994796
115	0.2497642634
116	0.2497448945
117	0.2497095777
118	0.2496896049
119	0.2496570003
120	0.2496287123
121	0.2496053677
122	0.2495653228
123	0.2495461061
124	0.2495257629
125	0.2495146352
126	0.2494757687
127	0.2494379328
128	0.2493932906
129	0.2493727173
130	0.2493494101
131	0.2493269503
132	0.2492991841
133	0.2492626734
134	0.2492377734
135	0.2492182104
136	0.2491906748
137	0.2491693746
138	0.2491609998
139	0.2491484775
140	0.2491257508
141	0.2491042851
142	0.2490915124
143	0.2490665709
144	0.2490360142
145	0.2490146503
146	0.2489745853
147	0.2489742568
148	0.2489407092
149	0.2489388743
150	0.2489321559
151	0.2488800554
152	0.2488645223
153	0.2488321868
154	0.2488097031
155	0.2487762229
156	0.248754348
157	0.2487280073
158	0.248700972
159	0.2486814924
160	0.2486485683
161	0.2486012449
162	0.2485813684
163	0.2485660014
164	0.2485593916
165	0.2485386673
166	0.2484969112
167	0.2484767358
168	0.2484623127
169	0.2484378213
170	0.2484095971
171	0.248395954
172	0.2483661818
173	0.248350757
174	0.2483227246
175	0.2483138184
176	0.2482960828
177	0.2482761797
178	0.2482563656
179	0.2482414897
180	0.248212028
181	0.2481912574
182	0.2481575252
183	0.2481491257
184	0.2481113784
185	0.2480826247
186	0.2480528963
187	0.2480489162
188	0.2480200244
189	0.2480101889
190	0.2479988347
191	0.2479784376
192	0.2479418969
193	0.2479186347
194	0.2479018682
195	0.2478741851
196	0.2478511049
197	0.2478204897
198	0.2477986795
199	0.247768763
