iter	Passed	Remaining
0	116	23151
1	223	22121
2	345	22677
3	460	22586
4	570	22266
5	690	22334
6	798	22021
7	926	22245
8	1093	23201
9	1223	23255
10	1361	23396
11	1485	23276
12	1591	22891
13	1724	22915
14	1846	22772
15	1961	22562
16	2076	22353
17	2196	22209
18	2340	22292
19	2469	22229
20	2584	22026
21	2695	21812
22	2814	21657
23	2934	21519
24	3057	21404
25	3187	21331
26	3311	21215
27	3427	21052
28	3551	20942
29	3686	20889
30	3803	20733
31	3915	20555
32	4037	20433
33	4155	20288
34	4271	20135
35	4394	20019
36	4518	19906
37	4643	19797
38	4766	19678
39	4888	19552
40	5029	19506
41	5151	19379
42	5279	19275
43	5415	19199
44	5542	19091
45	5659	18947
46	5790	18848
47	5923	18758
48	6052	18650
49	6171	18514
50	6285	18363
51	6421	18275
52	6556	18185
53	6686	18077
54	6835	18019
55	6951	17875
56	7078	17757
57	7197	17621
58	7314	17479
59	7432	17342
60	7557	17221
61	7676	17085
62	7798	16958
63	7916	16821
64	8032	16682
65	8148	16543
66	8266	16409
67	8384	16275
68	8515	16167
69	8644	16054
70	8765	15926
71	8882	15790
72	9005	15666
73	9115	15520
74	9235	15392
75	9353	15260
76	9470	15128
77	9603	15021
78	9724	14894
79	9854	14781
80	9964	14638
81	10078	14503
82	10208	14390
83	10330	14266
84	10428	14108
85	10561	13999
86	10675	13865
87	10802	13748
88	10919	13618
89	11027	13478
90	11147	13352
91	11267	13227
92	11384	13098
93	11503	12971
94	11627	12851
95	11757	12737
96	11870	12605
97	11994	12484
98	12116	12360
99	12246	12246
100	12370	12125
101	12489	12000
102	12606	11872
103	12730	11751
104	12849	11625
105	12966	11498
106	13086	11374
107	13222	11263
108	13347	11143
109	13458	11011
110	13576	10885
111	13731	10789
112	13879	10685
113	14010	10569
114	14144	10454
115	14279	10340
116	14399	10215
117	14514	10086
118	14634	9961
119	14758	9838
120	14877	9713
121	14992	9585
122	15113	9461
123	15240	9340
124	15362	9217
125	15470	9085
126	15599	8966
127	15718	8841
128	15836	8716
129	15957	8592
130	16072	8465
131	16185	8337
132	16284	8203
133	16405	8080
134	16523	7955
135	16641	7831
136	16761	7707
137	16878	7583
138	16994	7457
139	17126	7340
140	17251	7218
141	17374	7096
142	17503	6976
143	17626	6854
144	17750	6732
145	17879	6612
146	18008	6492
147	18130	6370
148	18262	6250
149	18392	6130
150	18509	6006
151	18636	5885
152	18764	5764
153	18879	5639
154	19002	5516
155	19126	5394
156	19253	5273
157	19375	5150
158	19517	5032
159	19653	4913
160	19783	4792
161	19915	4671
162	20034	4547
163	20156	4424
164	20268	4299
165	20402	4178
166	20525	4055
167	20662	3935
168	20783	3812
169	20920	3691
170	21039	3568
171	21160	3444
172	21282	3321
173	21410	3199
174	21526	3075
175	21654	2952
176	21776	2829
177	21899	2706
178	22018	2583
179	22138	2459
180	22255	2336
181	22373	2212
182	22491	2089
183	22594	1964
184	22826	1850
185	22993	1730
186	23151	1609
187	23282	1486
188	23421	1363
189	23543	1239
190	23677	1115
191	23795	991
192	23912	867
193	24046	743
194	24188	620
195	24332	496
196	24466	372
197	24601	248
198	24734	124
199	24852	0
